Площадь,Стоимость 1 кв.м.,Стоимость,Этаж,Тип дома,Зона
"410,2","263 468,61","108 074 825,42",2,ЭЛИТА,1
"409,8","263 812,81","108 110 488,31",2,ЭЛИТА,1
"410,4","263 139,83","107 992 585,94",2,ЭЛИТА,1
"410,3","263 063,38","107 934 903,83",2,ЭЛИТА,1
"410,3","263 267,21","108 018 537,78",2,ЭЛИТА,1
"410,3","262 868,94","107 855 125,92",2,ЭЛИТА,1
412,"262 680,48","108 224 355,86",2,ЭЛИТА,1
"410,3","262 744,46","107 804 051,20",2,ЭЛИТА,1
"407,5","262 974,70","107 162 188,95",2,ЭЛИТА,1
"407,8","262 810,53","107 174 135,15",2,ЭЛИТА,1
"410,3","263 306,48","108 034 650,55",2,ЭЛИТА,1
"412,3","263 553,72","108 663 200,24",2,ЭЛИТА,1
"410,3","263 072,31","107 938 567,77",2,ЭЛИТА,1
"173,1","117 797,71","20 390 784,21",2,СТАЛ,4
"63,3","125 489,17","7 943 464,15",2,СТАЛ,4
"157,1","115 539,70","18 151 286,78",2,СТАЛ,4
"59,2","126 288,49","7 476 278,44",2,СТАЛ,4
"126,9","115 546,24","14 662 817,31",2,СТАЛ,4
"104,7","117 883,39","12 342 391,19",2,СТАЛ,4
"50,5","128 505,61","6 489 533,28",2,СТАЛ,4
"22,8","132 891,77","3 029 932,26",1,СТАЛ,4
"50,6","128 475,98","6 500 884,39",2,СТАЛ,4
"111,8","117 837,81","13 174 266,89",2,СТАЛ,4
"52,5","127 931,28","6 716 392,26",2,СТАЛ,4
"71,4","124 315,60","8 876 133,88",2,СТАЛ,4
112,"117 836,93","13 197 736,26",2,СТАЛ,4
"232,2","115 539,60","26 828 296,07",2,СТАЛ,4
"135,8","115 667,15","15 707 598,47",2,СТАЛ,4
"58,6","126 418,22","7 408 107,58",2,СТАЛ,4
"50,5","128 505,61","6 489 533,28",2,СТАЛ,4
"70,5","127 221,01","8 969 081,29",2,СТАЛ,4
"118,4","107 779,02","12 761 035,45",2,СТАЛ,4
"58,9","129 195,23","7 609 599,07",2,СТАЛ,4
"128,1","117 803,52","15 090 630,90",2,СТАЛ,4
"56,4","126 922,79","7 158 445,63",2,СТАЛ,4
"151,6","107 761,90","16 336 704,15",2,СТАЛ,4
"53,9","130 421,60","7 029 724,10",2,СТАЛ,4
70,"124 483,73","8 713 861,09",2,СТАЛ,4
"171,5","107 761,70","18 481 131,88",2,СТАЛ,4
"104,2","117 887,93","12 283 922,29",2,СТАЛ,4
92,"118 092,18","10 864 480,79",2,СТАЛ,4
