Name,Quantity in 1 unit,Type,Seller,"Price for 1 uint, rub","Sales, tons","Sales, th. rub",Weighted distribution,Price for 1 bit,Market Share,Sales in packages,Sales in bits
GREENFIELD(OR.TR.) GOLDEN CEYLON,100,ч,п,221,1749,1916233,75,"2,21","4,067729221","8670,737557","867073,7557"
PRINCESSA NOORI VYSOKOGORNIY,100,ч,п,138,2089,1424092,64,"1,38","3,023025197","10319,50725","1031950,725"
PRINCESSA NOORI VYSOKOGORNIY,25,ч,п,42,1681,1416400,93,"1,68","3,006696821","33723,80952","843095,2381"
LIPTON(UNILEVER) YELLOW LABEL,100,ч,п,160,1747,1388139,72,"1,6","2,94670511","8675,86875","867586,875"
GREENFIELD(OR.TR.) GOLDEN CEYLON,25,ч,п,80,756,1200753,88,"3,2","2,548927017","15009,4125","375235,3125"
GREENFIELD(OR.TR.) KENYAN SUNRISE,100,ч,п,203,967,965240,44,"2,03","2,04898619","4754,876847","475487,6847"
GREENFIELD(OR.TR.) EARL GREY FANTASY,100,ч/а,п,206,795,806679,54,"2,06","1,712397052","3915,917476","391591,7476"
TESS PLEASURE,100,ч/а,п,164,794,855011,58,"1,64","1,814994956","5213,481707","521348,1707"
GREENFIELD(OR.TR.) GOLDEN CEYLON,200,ч,в,157,753,582704,57,"0,785","1,236948789","3711,490446","742298,0892"
LIPTON(UNILEVER) YELLOW LABEL,25,ч,п,52,886,913809,84,"2,08","1,93980981","17573,25","439331,25"
RICHARD ROYAL CEYLON,100,ч,п,176,1323,1124383,63,"1,76","2,386810782","6388,539773","638853,9773"
GREENFIELD(OR.TR.) GOLDEN CEYLON,100,ч,в,86,1024,871751,84,"0,86","1,850530189","10136,63953","1013663,953"
MAYSKIY(MAY-FOODS) KORON.ROSS.IMPER.,200,ч,в,143,1349,953754,75,"0,715","2,02460401","6669,608392","1333921,678"
GREENFIELD(OR.TR.) SPRING MELODY,25,ч/а,п,204,140,176667,15,"8,16","0,3750240802","866,0147059","21650,36765"
GREENFIELD(OR.TR.) KENYAN SUNRISE,25,ч,п,75,459,673874,69,3,"1,430482077","8984,986667","224624,6667"
TESS PLEASURE,25,ч/а,п,62,401,663480,73,"2,48","1,408417966","10701,29032","267532,2581"
GREENFIELD(OR.TR.) EARL GREY FANTASY,25,ч/а,п,78,450,691167,84,"3,12","1,467191204","8861,115385","221527,8846"
MAYSKIY(MAY-FOODS) OTBORNIY,25,ч,п,43,712,593354,72,"1,72","1,25955633","13798,93023","344973,2558"
AHMAD TEA EARL GREY,100,ч/а,п,245,301,364270,39,"2,45","0,7732628148","1486,816327","148681,6327"
GREENFIELD(OR.TR.) SPRING MELODY,25,ч/а,п,74,284,559611,76,"2,96","1,187927573","7562,310811","189057,7703"
GREENFIELD(OR.TR.) CLASSIC BREAKFAST,100,ч,п,204,372,367600,20,"2,04","0,7803316516","1801,960784","180196,0784"
RICHARD LORD GREY,25,ч/а,п,77,288,440016,65,"3,08","0,9340544396","5714,493506","142862,3377"
LISMA KREPKIY IND.,100,ч,п,114,1298,731944,73,"1,14","1,553751552","6420,561404","642056,1404"
RICHARD ROYAL CEYLON,25,ч,п,75,345,505871,73,3,"1,073849709","6744,946667","168623,6667"
AHMAD TEA EARL GREY,100,ч/а,в,116,396,448295,61,"1,16","0,9516288839","3864,612069","386461,2069"
PRINCESSA NOORI TSEYL.OTBOR.,100,ч,п,125,591,363026,37,"1,25","0,7706220842","2904,208","290420,8"
MAYSKIY(MAY-FOODS) KORON.ROSS.IMPER.,100,ч,п,149,701,504995,58,"1,49","1,071990159","3389,228188","338922,8188"
BROOKE BOND(UNILEVER) NASYTSHENNIY,100,ч,п,132,646,467821,56,"1,32","0,9930781653","3544,098485","354409,8485"
AKBAR MOUNTAIN FRESH,25,ч,п,58,350,405598,65,"2,32","0,8609928107","6993,068966","174826,7241"
MAYSKIY(MAY-FOODS) KORON.ROSS.IMPER.,100,ч,в,82,544,445035,63,"0,82","0,9447086413","5427,256098","542725,6098"
AHMAD TEA ENGLISH BREAKFAST,100,ч,п,234,392,446237,51,"2,34","0,9472602155","1906,995726","190699,5726"
PRINCESSA NOORI TSEYLONSKIY PEKOE,250,ч,в,152,698,422916,56,"0,608","0,8977550075","2782,342105","695585,5263"
LIPTON(UNILEVER) EARL GREY,100,ч,п,159,500,389814,47,"1,59","0,8274869489","2451,660377","245166,0377"
GREENFIELD(OR.TR.) BARBERRY GARDEN,25,ч/а,п,74,151,293632,61,"2,96","0,6233143186",3968,99200
