Местное время в Вене / Швехате (аэропорт);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td;;;
08.11.2023 09:50;10.0;747.6;764.3;58;Ветер, дующий с западо-северо-запада;10;;;;Нет существенной облачности;10.0 и более;2.0;;;
08.11.2023 09:20;10.0;747.6;764.3;62;Ветер, дующий с западо-северо-запада;9;;;;Нет существенной облачности;10.0 и более;3.0;;;
08.11.2023 08:50;9.0;747.6;764.3;66;Ветер, дующий с западо-северо-запада;8;;;;Нет существенной облачности;10.0 и более;3.0;;;
08.11.2023 08:20;9.0;747.6;764.3;66;Ветер, дующий с западо-северо-запада;9;;;;Нет существенной облачности;10.0 и более;3.0;;;
08.11.2023 07:50;9.0;747.6;764.3;66;Ветер, дующий с западо-северо-запада;8;;;;Нет существенной облачности;10.0 и более;3.0;;;
08.11.2023 07:20;9.0;746.8;763.5;66;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;3.0;;;
08.11.2023 06:50;8.0;746.7;763.5;76;Ветер, дующий с северо-запада;4;;;;Нет существенной облачности;10.0 и более;4.0;;;
08.11.2023 06:20;8.0;746.7;763.5;76;Ветер, дующий с западо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;4.0;;;
08.11.2023 05:50;9.0;746.1;762.8;71;Ветер, дующий с северо-запада;6;12;;;Незначительная (10-30%) 1500 м;10.0 и более;4.0;;;
08.11.2023 05:20;9.0;746.1;762.8;71;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 1500 м;10.0 и более;4.0;;;
08.11.2023 04:50;9.0;746.1;762.8;76;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 1260 м, рассеянная (40-50%) 1350 м, разорванная (60-90%) 1500 м;10.0 и более;5.0;;;
08.11.2023 04:20;9.0;746.1;762.8;76;Ветер, дующий с западо-северо-запада;8;;;;Рассеянная (40-50%) 1350 м;10.0 и более;5.0;;;
08.11.2023 03:50;9.0;745.3;762.0;76;Ветер, дующий с запада;7;;;;Незначительная (10-30%) 1260 м, рассеянная (40-50%) 1320 м;10.0 и более;5.0;;;
08.11.2023 03:20;9.0;745.3;762.0;76;Ветер, дующий с западо-северо-запада;8;;;;Нет существенной облачности;10.0 и более;5.0;;;
08.11.2023 02:50;9.0;745.3;762.0;76;Ветер, дующий с западо-северо-запада;8;;;;Незначительная (10-30%) 1500 м;10.0 и более;5.0;;;
08.11.2023 02:20;9.0;745.3;762.0;76;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;5.0;;;
08.11.2023 01:50;9.0;745.3;762.0;76;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;5.0;;;
08.11.2023 01:20;9.0;745.3;762.0;82;Ветер, дующий с западо-северо-запада;5;;;;Незначительная (10-30%) 1440 м, разорванная (60-90%) 1500 м;10.0 и более;6.0;;;
08.11.2023 00:50;9.0;744.5;761.2;82;Ветер, дующий с северо-запада;4;;;;Незначительная (10-30%) 1200 м, кучевые мощные большой вертикальной протяженности , разорванная (60-90%) 1500 м;10.0 и более;6.0;;;
08.11.2023 00:20;9.0;745.3;762.0;82;Ветер, дующий с северо-запада;3;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1200 м, кучевые мощные большой вертикальной протяженности , разорванная (60-90%) 1500 м;10.0 и более;6.0;;;
