,Mean
Belgorodskaja oblast',1.8868260869565217
Brjanskaja oblast',2.557347826086957
Vladimirskaja oblast',7.353239130434783
Voronezhskaja oblast',8.82682608695652
Ivanovskaja oblast',3.263478260869566
Kaluzhskaja oblast',6.024086956521738
Kostromskaja oblast',2.003326086956521
Kurskaja oblast',3.008652173913044
Lipetskaja oblast',2.531804347826087
Moskovskaja oblast',65.73241304347826
Orlovskaja oblast',1.9608478260869568
Rjazanskaja oblast',5.6165652173913045
Smolenskaja oblast',3.6089999999999995
Tambovskaja oblast',2.047847826086956
Tverskaja oblast',4.3466956521739135
Tul'skaja oblast',8.228391304347827
Jaroslavskaja oblast',5.024304347826087
g. Moskva,74.7300652173913
Respublika Karelija,2.5552173913043474
Respublika Komi,0.03443478260869565
Nenetskij avtonomnyj okrug (Arhangel'skaja oblast'),0.1574782608695652
Vologodskaja oblast',4.223586956521738
Kaliningradskaja oblast',0.9328695652173913
Leningradskaja oblast',14.464173913043478
Murmanskaja oblast',3.433500000000001
Novgorodskaja oblast',2.4543260869565215
Pskovskaja oblast',1.8788913043478261
g. Sankt-Peterburg,39.26158695652174
Arhangel'skaja obl. bez dannyh po Nenetskomu avt. okr.,1.7830217391304348
Respublika Adygeja (Adygeja),0.5773478260869565
Respublika Kalmykija,0.10397826086956523
Respublika Krym,11.77432608695652
Krasnodarskij kraj,13.09358695652174
Astrahanskaja oblast',1.1479130434782612
Volgogradskaja oblast',5.438760869565217
Rostovskaja oblast',15.690347826086953
g. Sevastopol',4.116891304347826
Respublika Dagestan,1.057695652173913
Respublika Ingushetija,0.002913043478260869
Kabardino-Balkarskaja Respublika,0.1274782608695652
Karachaevo-Cherkesskaja Respublika,0.14176086956521736
Respublika Severnaja Osetija - Alanija,0.17584782608695648
Chechenskaja Respublika,0.028217391304347823
Stavropol'skij kraj,3.064108695652174
Respublika Bashkortostan,1.2620869565217392
Respublika Marij El,0.6097173913043478
Respublika Mordovija,0.9872173913043479
Respublika Tatarstan (Tatarstan),3.7256521739130433
Udmurtskaja Respublika,1.466804347826087
Chuvashskaja Respublika - Chuvashija,0.8759347826086956
Permskij kraj,4.718826086956521
Kirovskaja oblast',1.5542173913043478
Nizhegorodskaja oblast',8.031717391304348
Orenburgskaja oblast',2.548326086956522
Penzenskaja oblast',2.7205000000000004
Samarskaja oblast',7.802347826086955
Saratovskaja oblast',3.8997173913043484
Ul'janovskaja oblast',2.113782608695652
Kurganskaja oblast',0.8919347826086955
Sverdlovskaja oblast',14.401152173913045
Hanty-Mansijskij avtonomnyj okrug - Jugra (Tjumenskaja oblast'),3.3241521739130433
Jamalo-Nenetskij avtonomnyj okrug (Tjumenskaja oblast'),0.9523260869565218
Cheljabinskaja oblast',6.445978260869565
Tjumenskaja obl.bez dannyh po Hanty-Mansijskomu i Jamalo-Nenetskomu avt. okr.,2.528978260869565
Respublika Altaj,0.15093478260869564
Respublika Tyva,0.0010652173913043481
Respublika Hakasija,0.11784782608695653
Altajskij kraj,2.5312391304347828
Krasnojarskij kraj,2.5123478260869563
Irkutskaja oblast',1.328021739130435
Kemerovskaja oblast',3.6565652173913037
Novosibirskaja oblast',7.151673913043478
Omskaja oblast',2.4784782608695655
Tomskaja oblast',0.9563478260869563
Respublika Burjatija,0.5656086956521739
Respublika Saha (Jakutija),0.1096304347826087
Zabajkal'skij kraj,0.20463043478260867
Kamchatskij kraj,0.47004347826086956
Primorskij kraj,2.979086956521739
Habarovskij kraj,3.351565217391305
Amurskaja oblast',1.0337391304347825
Magadanskaja oblast',0.33054347826086955
Sahalinskaja oblast',0.5021086956521739
Evrejskaja avtonomnaja oblast',0.2026304347826087
Chukotskij avtonomnyj okrug,0.023065217391304346
